time |	latitude |	longitude |	depth |	mag |	magType
1980-07-14T16:15:01.700Z	-29.273	-177.154	49	6.6	ms
1980-07-16T19:56:46.700Z	-4.456	143.521	84	6.5	mb
1980-07-17T19:42:23.200Z	-12.525	165.916	33	7.9	ms
1980-07-19T11:52:20.600Z	-28.997	-69.675	110	6.1	mb
1980-07-19T23:46:58.200Z	-21.886	-139.019	0	5.9	mb
1980-07-20T21:20:03.900Z	-17.865	-178.625	591	6	mb
1980-07-21T21:20:24.700Z	-12.287	166.509	80	5.9	mb
1980-07-22T07:06:23.000Z	-20.302	169.607	122	6.1	mb
1980-07-24T15:30:05.600Z	-22	170.144	33	5.8	ms
1980-07-29T03:11:56.300Z	-13.101	166.338	48	6.7	ms
1980-07-29T14:58:40.800Z	29.598	81.092	18	6.5	ms
1980-07-30T06:56:16.700Z	5.276	-82.665	10	5.9	ms
1980-08-02T15:47:26.100Z	-11.086	165.433	33	6.3	ms
1980-08-09T05:45:09.500Z	15.888	-88.516	22	6.4	ms
1980-08-19T21:01:29.000Z	-3.579	140.037	33	5.8	mb
1980-08-21T12:07:20.100Z	-41.318	80.508	10	6.3	ms
1980-08-24T20:10:04.200Z	-15.222	-173.674	39	6.2	ms
1980-09-03T22:12:39.100Z	3.238	-78.19	33	5.8	ms
1980-09-14T02:42:39.300Z	49.976	78.889	0	6.2	mb
1980-09-15T04:28:13.700Z	-61.387	-56.429	33	5.8	ms
1980-09-24T17:54:24.100Z	35.45	139.964	73	6	mb
1980-09-26T15:20:37.100Z	-3.225	142.237	33	6.5	ms
1980-09-26T17:28:15.400Z	-15.028	167.295	116	5.9	mb
1980-09-28T18:25:59.700Z	-6.31	154.809	68	6	mb
1980-10-04T04:37:34.100Z	-15.722	-179.359	33	6	ms
1980-10-08T16:04:45.600Z	-5.366	103.118	33	6.3	ms
1980-10-09T16:19:38.200Z	-15.379	-173.42	33	6	ms
1980-10-10T12:25:23.500Z	36.195	1.354	10	7.3	ms
1980-10-10T12:37:09.700Z	36.364	1.632	10	5.9	mb
