time |	latitude |	longitude |	depth |	mag |	magType
1990-06-26T12:08:29.390Z	-22.015	-179.473	586.8	6.3	mw
1990-07-09T15:11:20.380Z	5.395	31.654	12.6	6.6	mw
1990-07-10T03:17:59.290Z	-10.353	161.119	66.3	6.4	mw
1990-07-11T19:48:08.140Z	-25.355	178.342	584.8	6	mw
1990-07-11T19:49:13.920Z	-25.366	178.234	589.8	6	mw
1990-07-13T14:20:43.470Z	36.415	70.789	216.8	6.4	mw
1990-07-14T05:54:25.490Z	0.003	-17.376	11.1	6.6	mw
1990-07-16T07:26:34.610Z	15.679	121.172	25.1	7.7	mw
1990-07-17T18:06:35.330Z	16.433	120.838	18.3	6.1	mw
1990-07-17T21:14:43.860Z	16.495	120.981	23.1	6.5	mw
1990-07-22T09:26:14.600Z	-23.622	-179.893	531.3	6.3	mw
1990-07-27T12:37:59.550Z	-15.355	167.464	125.7	7.2	mw
1990-08-02T05:24:08.550Z	-31.62	-71.695	35.8	6	mw
1990-08-03T09:15:06.150Z	47.963	84.961	33.4	6.2	mw
1990-08-05T01:34:55.830Z	29.551	137.63	496.2	6.5	mw
1990-08-05T03:36:22.290Z	36.31	141.072	26.6	6.1	mw
1990-08-05T17:42:32.170Z	-1.08	-13.887	10	6.4	mw
1990-08-10T15:44:31.360Z	0.333	126.175	53.2	6.2	mw
1990-08-12T21:25:21.950Z	-19.435	169.132	140.4	7.1	mw
1990-08-14T15:13:28.600Z	35.432	-35.648	10	6.3	mw
1990-08-16T04:59:57.690Z	41.564	88.77	0	6.2	mb
1990-08-17T13:07:17.420Z	-11.164	161.997	29.1	6.7	mw
1990-08-18T13:55:07.510Z	-40.229	78.308	10	6.2	mw
1990-08-18T18:52:36.840Z	7.507	93.975	21.4	6	mw
1990-08-21T14:13:04.840Z	-27.487	-104.266	10.5	6	mw
1990-08-25T15:47:53.890Z	0.525	126.084	11.3	6.4	mw
1990-09-02T04:26:48.070Z	-0.143	-80.283	14.2	6.6	mw
1990-09-02T13:05:07.300Z	-3.197	148.225	22.8	6	mw
